Rank,NCT Number,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Age,Phases,Funded Bys,Study Type,Study Designs,Locations,Study Documents,URL
15,NCT01613807,Humalog® Mix50/50(tm) as a Treatment for Gestational Diabetes,Completed,Has Results,Gestational Diabetes Mellitus,"Drug: Insulin LISPRO|Drug: Insulin, Long-Acting and Insulin",Sansum Diabetes Research Institute|Eli Lilly and Company,18 Years to 44 Years   (Adult),Phase 4,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,California,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/07/NCT01613807/Prot_000.pdf",https://ClinicalTrials.gov/show/NCT01613807
16,NCT04529317,Beneficial Effects of Quinoa (Chenopodium Quinoa Willd) in the Prevention of Type 2 Diabetes Mellitus,Completed,No Results Available,Type 2 Diabetes,Dietary Supplement: Quinoa and quinoa-based food,Institut d'Investigacions Biomèdiques August Pi i Sunyer,65 Years and older   (Older Adult),Not Applicable,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,"Diana A. Díaz Rizzolo, Barcelona, Spain","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/17/NCT04529317/Prot_SAP_ICF_000.pdf",https://ClinicalTrials.gov/show/NCT04529317
17,NCT02889510,Study to Assess the Efficacy of Liraglutide in Patients With Type 2 Diabetes Mellitus,Completed,Has Results,Type 2 Diabetes,Drug: liraglutide|Drug: placebo,"Lecube, Albert, M.D.|Dynamic Solutions|Novo Nordisk A/S","40 Years to 65 Years   (Adult, Older Adult)",Phase 3,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","Hospital Universitari Germans Trias i Pujol, Badalona, Barcelona, Spain|Clínica Universidad de Navarra, Pamplona, Navarra, Spain|Hospital Universitari Vall d´Hebrón, Barcelona, Spain|Hospital Universitari Arnau de Vilanova de Lleida, Lleida, Spain|Hospital Universitario Virgen de la Victoria, Málaga, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/10/NCT02889510/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02889510
18,NCT05099198,Replication of the GRADE Diabetes Trial in Healthcare Claims Data,Completed,No Results Available,Diabetes,Drug: Sitagliptin|Drug: Glimepiride,Brigham and Women's Hospital,"30 Years and older   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,"Brigham and Women's Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/98/NCT05099198/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT05099198
19,NCT05162183,Replication of the LEAD-2 Diabetes Trial in Healthcare Claims Data,Completed,No Results Available,Diabetes,Drug: Glimepiride|Drug: Liraglutide,Brigham and Women's Hospital,"18 Years to 80 Years   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,"Brigham and Women's Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/83/NCT05162183/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT05162183
20,NCT04077216,Effect of Extra Virgin Olive Oil on Postprandial Blood Glucose in Type 2 Diabetes Mellitus Patients,Completed,No Results Available,"Diabetes Mellitus, Type 2",Dietary Supplement: Extra Virgin Olive Oil (EVOO),Makati Medical Center,"30 Years to 65 Years   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care,"Makati Medical Center, Makati City, NCR, Philippines","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/16/NCT04077216/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04077216
21,NCT01973972,Jump Start Shared Medical Appointments for Diabetes With Weight Management,Completed,Has Results,Diabetes,Behavioral: Weight management|Behavioral: Shared medical appointments (SMA),VA Office of Research and Development,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,"Durham VA Medical Center, Durham, NC, Durham, North Carolina, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/72/NCT01973972/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT01973972
22,NCT03020069,Use of Continuous Glucose Monitoring System With Intensive Feedback in Adolescents With Poorly Controlled Type 1 Diabetes,Completed,Has Results,Type 1 Diabetes,Device: CGMS Device|Other: No Device,NYU Langone Health,"13 Years to 19 Years   (Child, Adult)",Not Applicable,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,"New York University Medical Center, New York, New York, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/69/NCT03020069/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03020069
23,NCT04970810,"My Diabetes, My Community",Recruiting,No Results Available,Type 2 Diabetes,Behavioral: My Diabetes Goal|Behavioral: My Diabetes Goal + CommunityRx,University of Chicago|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"60 Years and older   (Adult, Older Adult)",Not Applicable,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care,"University of Chicago Medicine, Chicago, Illinois, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/10/NCT04970810/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04970810
24,NCT03695913,Continuous Glucose Monitoring (CGM) With a Low Carbohydrate Diet to Reduce Weight in Patients With Pre-Diabetes,Completed,Has Results,Pre-diabetes,Other: Normal Diet|Other: Low carb diet|Device: CGM with no real time feedback|Device: CGM with real time feedback)|Behavioral: Education material,University of Michigan,"21 Years and older   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"The University of Michigan, Livonia, Michigan, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/13/NCT03695913/Prot_000.pdf",https://ClinicalTrials.gov/show/NCT03695913
25,NCT03053518,Validation of Machine Learning Based Personalized Nutrition Algorithm to Reduce Postprandial Glycemic Excursions Among North American Individuals With Newly Diagnosed Type 2 Diabetes,Terminated,Has Results,Type2 Diabetes,Device: Abbott Freestyle Libre Pro|Behavioral: LifeStyle,NYU Langone Health,"21 Years to 70 Years   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"New York University School of Medicine, New York, New York, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/18/NCT03053518/Prot_000.pdf",https://ClinicalTrials.gov/show/NCT03053518
26,NCT03562767,Cognitive Behavioral Therapy for African Americans With Uncontrolled Type-2 Diabetes,Terminated,Has Results,"Diabetes Mellitus, Type 2",Behavioral: Group-based Cognitive Behavioral Intervention|Behavioral: Web-based Cognitive Behavioral Intervention|Behavioral: Usual Care,Emory University|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"18 Years and older   (Adult, Older Adult)",Not Applicable,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care,"Emory Dunwoody Clinic, Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/67/NCT03562767/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03562767
27,NCT04215536,Replication of the EMPAREG Diabetes Trial in Healthcare Claims,Unknown status,No Results Available,Diabetes,Drug: Empagliflozin|Drug: DPP-4 inhibitor,Brigham and Women's Hospital,"18 Years and older   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,"Brigham & Women's Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/36/NCT04215536/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04215536
28,NCT03936062,Replication of the TECOS Diabetes Trial in Healthcare Claims,Unknown status,No Results Available,Diabetes,Drug: Sitagliptin|Drug: Sulfonylurea,Brigham and Women's Hospital,"50 Years and older   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,"Brigham & Women's Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/62/NCT03936062/Prot_SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03936062
29,NCT03936049,Replication of the LEADER Diabetes Trial in Healthcare Claims,Unknown status,No Results Available,Diabetes,Drug: Liraglutide|Drug: DPP-4 inhibitor,Brigham and Women's Hospital,"50 Years and older   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,"Brigham And Women's Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/49/NCT03936049/Prot_SAP_002.pdf",https://ClinicalTrials.gov/show/NCT03936049
30,NCT03936036,Replication of the CARMELINA Diabetes Trial in Healthcare Claims,Unknown status,No Results Available,Diabetes,Drug: Linagliptin|Drug: Sulfonylurea,Brigham and Women's Hospital,"18 Years and older   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,"Brigham & Women's Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/36/NCT03936036/Prot_SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03936036
31,NCT01876485,Point-of-care Health Literacy and Activation Information to Improve Diabetes Care,Completed,Has Results,Diabetes Mellitus,Behavioral: Empowering Patients in Chronic Care (EPIC)|Behavioral: Enhanced Usual Care (EUC),VA Office of Research and Development,"18 Years and older   (Adult, Older Adult)",Not Applicable,U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Health Services Research,"Jesse Brown VA Medical Center, Chicago, IL, Chicago, Illinois, United States|Edward Hines Jr. VA Hospital, Hines, IL, Hines, Illinois, United States|Michael E. DeBakey VA Medical Center, Houston, TX, Houston, Texas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/85/NCT01876485/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT01876485
32,NCT03936023,Replication of the SAVOR-TIMI Diabetes Trial in Healthcare Claims,Unknown status,No Results Available,Diabetes,Drug: Saxagliptin|Drug: Sulfonylurea,Brigham and Women's Hospital,"40 Years and older   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,"Brigham & Women's Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/23/NCT03936023/Prot_SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03936023
33,NCT04157738,A Study of Rapid-Acting Mealtime Insulin in Children and Adolescents With Newly Diagnosed Type 1 Diabetes Mellitus,Completed,Has Results,Diabetes Mellitus|Type 1 Diabetes,Drug: Rapid-Acting Insulin|Drug: Long acting insulin,Emory University,7 Years to 15 Years   (Child),Phase 4,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"Children's Healthcare of Atlanta, Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/38/NCT04157738/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04157738
34,NCT04215523,Replication of the DECLARE Diabetes Trial in Healthcare Claims,Unknown status,No Results Available,Diabetes,Drug: Dapagliflozin|Drug: DPP-4 inhibitor,Brigham and Women's Hospital,"18 Years and older   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,"Brigham & Women's Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/23/NCT04215523/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04215523
35,NCT03936010,Replication of the CANVAS Diabetes Trial in Healthcare Claims,Unknown status,No Results Available,Diabetes,Drug: Canagliflozin|Drug: DPP-4 inhibitor,Brigham and Women's Hospital,"18 Years and older   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,"Brigham & Women's Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/10/NCT03936010/Prot_SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03936010
36,NCT05104944,Defining Outcome Measures for Acute Charcot Neuroarthropathy in Diabetes and Their Use in Assessing Clinical Management,Completed,No Results Available,Diabetes,Radiation: Serial MRIs,Norfolk and Norwich University Hospitals NHS Foundation Trust|University of East Anglia,"18 Years and older   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,"Norfolk & Norwich University Hospital, Norwich, Norfolk, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/44/NCT05104944/Prot_000.pdf",https://ClinicalTrials.gov/show/NCT05104944
37,NCT03870997,Influenza Vaccination Digital Interventions for People Living With Diabetes,Completed,Has Results,Diabetes,Behavioral: Diabetes Digital Intervention|Behavioral: Generic Digital Intervention,"Evidation Health|Sanofi Pasteur, a Sanofi Company","18 Years and older   (Adult, Older Adult)",Not Applicable,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Other,"Evidation Health, San Mateo, California, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/97/NCT03870997/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03870997
38,NCT01928199,Efficacy Study of Sitagliptin to Prevent New-onset Diabetes After Kidney Transplant,Completed,Has Results,Posttransplant Diabetes Mellitus,Drug: Sitagliptin|Drug: Placebo,Washington University School of Medicine|Merck Sharp & Dohme LLC,"18 Years and older   (Adult, Older Adult)",Phase 4,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","Washington University, Saint Louis, Missouri, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/99/NCT01928199/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT01928199
39,NCT02569060,Feeding America Intervention Trial for Health--Diabetes Mellitus,Completed,No Results Available,Diabetes Mellitus,Other: Testing and Monitoring of Blood Glucose Levels|Other: Primary care coordination|Other: Diabetes-appropriate food packages|Behavioral: Diabetes self-management education,"University of California, San Francisco|Feeding America|Laura and John Arnold Foundation|Urban Institute","18 Years and older   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"Alameda County Community Food Bank, Oakland, California, United States|University of California San Francisco, San Francisco, California, United States|Gleaners Community Food Bank of Southeastern Michigan, Detroit, Michigan, United States|Houston Food Bank, Houston, Texas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/60/NCT02569060/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02569060
40,NCT02426138,Community Servings: Food as Medicine for Diabetes,Completed,Has Results,Diabetes,Other: Medically Tailored Meal Delivery (MTM)|Other: Usual Care + Choose MyPlate,Massachusetts General Hospital,"18 Years and older   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"Massachusetts General Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/38/NCT02426138/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02426138
41,NCT02786953,Sleep Promotion to Improve Diabetes Management in Adolescents With T1D,Completed,Has Results,"Diabetes Mellitus, Type 1",Behavioral: Sleep Promotion,Vanderbilt University Medical Center,13 Years to 17 Years   (Child),Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment,"Vanderbilt University Medical Center, Nashville, Tennessee, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/53/NCT02786953/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02786953
