,NCT Number,Status,Conditions,Sponsor,Age,Funded_Bys,Study_Designs,Locations,Summerised_pdf_based_on_keywords,links
35,NCT03870997,Completed,diabetes ,evidation health sanofi pasteur a sanofi company , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking single participant primary purpose other ,evidation health san mateo california united states ," -The former England captain is among the most popular figures in the game.
The former South African has been in contact with the media since the death of his wife.
He is also a former member of the National Suicide Prevention Unit.
A third of the world's most popular people are from the region.- -Data will be transmitted using Transport Layer Security (TLS) and stored on encrypted servers.
Data will also be stored on secure and hardened servers.22% of self-reported influenza vaccination rates are between the ages of one and two.
The data will be stored in encrypted and hardened server locations.- -Participants will be able to complete a study of their participation in the study.
Participants who do not complete the questionnaires may be contacted by email, text or phone.
The study aims to measure influenza vaccination rates in the.
ind - mid -December.- -Participants will be able to complete a study of their participation in the study.
Participants who do not complete the questionnaires may be contacted by email, text or phone.
The study aims to measure influenza vaccination rates in the.
ind - mid -December.-Each year 5 - 20% of the U.S. population have an influenza-related illness.
Each year, 5-20% of U.K. population has an influenza infection.
Most effective way to reduce the risk is to get vaccinated.
The most effective way is to be vaccinated for the general population.- - -The primary analysis will be based on data collected in the assessments such as demographics, health sta tus, and regression.
The primary analyses will be conducted for primary, secondary and supplemental \noutcomes.
If participants develop a.
fluidenza, how long influenza lasted, healthcare utilization, and overall healthcare utilization will be compared.- -The study is an exploratory study that will not provide any medical advice or advice.
It will label a larger population for study inclusion.
There are no pharmaceutical products administere as part of this study.
The study will not be part of the study.22,000 participants.- -Participants will be able to complete a study of their participation in the study.
Participants who do not complete the questionnaires may be contacted by email, text or phone.
The study aims to measure influenza vaccination rates in the.
ind - mid -December.-The primary analysis will be based on data collected in the assessments such as demographics, health sta tus, and regression.
The primary analyses will be conducted for primary, secondary and supplemental \noutcomes.
If participants develop a.
fluidenza, how long influenza lasted, healthcare utilization, and overall healthcare utilization will be compared.- - -Each year 5 - 20% of the U.S. population have an influenza-related illness.
Each year, 5-20% of U.K. population has an influenza infection.
Most effective way to reduce the risk is to get vaccinated.
The most effective way is to be vaccinated for the general population.",https://ClinicalTrials.gov/ProvidedDocs/97/NCT03870997/Prot_SAP_000.pdf
36,NCT01928199,Completed,posttransplant diabetes mellitus ,washington university school of medicine merck sharp  dohme llc , years and older   adult older adult ,other industry ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose prevention ,washington university saint louis missouri united states ,"Sitagliptin is a single-donor-pancreas, or deceased donor kidney transplant.
The initial dose will be 100mg oral per day.
In patients randomized to sitagliitptin, the initial dose is 100mg.
It is the first dose to be administered in the first 120 hours after the transplant.- -Patients with \nhyperglycemia will have a medical history, vital signs, height, weight, BMI, BMI.
Patients will be screened to determine eligibility for the study based on inclusion and exclusion criteria.
The patients will be given a log, standard glucometer and testing strips to maintain a blood sugar.
At the 1 and 3 month visits, vital sign will be reviewed and adverse ef fects recorded.-Patients with \nhyperglycemia will have a medical history, vital signs, height, weight, BMI, BMI.
Patients will be screened to determine eligibility for the study based on inclusion and exclusion criteria.
The patients will be given a log, standard glucometer and testing strips to maintain a blood sugar.
At the 1 and 3 month visits, vital sign will be reviewed and adverse ef fects recorded.- - - - - - -Sitagliptin is a single-donor-pancreas, or deceased donor kidney transplant.
The initial dose will be 100mg oral per day.
In patients randomized to sitagliitptin, the initial dose is 100mg.
It is the first dose to be administered in the first 120 hours after the transplant.",https://ClinicalTrials.gov/ProvidedDocs/99/NCT01928199/Prot_SAP_000.pdf
37,NCT02569060,Completed,diabetes mellitus ,university of california san francisco feeding america laura and john arnold foundation urban institute , years and older   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,alameda county community food bank oakland california united states university of california san francisco san francisco california united states gleaners community food bank of southeastern michigan detroit michigan united states houston food bank houston texas united states ,"The list of information to include when reporting a randomised trial was completed.
The information was compiled by the COT Manual of Operations and Procedures.
Include how and when the data was administered.
It was compiled to help the trials outcomes after trial commencement.
A selection of the information was provided to each group with sufficient details to allow replication.-The list of information was compiled by the COT Manual of Operations and Procedures.
It was compiled to help the trials outcomes after trial commencement.
The information was provided to each group with sufficient details to allow replication.
Include how and when the data was administered.- -The Urban Institute of Research has the option to scan health care data for the first time.
The site is secure and secure and the researchers can access the USB drives.
If you need to step away from your computer while using the device, lock the device.
When mailing the USB devices to Urban Institute research assistants, check to the Urban Research Assistant for help.-In 2013, 14.3% of U.S. households (17.5 million adults) were food-secure.
In 2013 5.4 million seniors (over 60) experienced very low food security.
Food insecurity is a public health problem of limited or.-The primary hypothesis is a significant improvement in the amount of exposure to the program.
The primary results of interest are improved in the overall outcomes of interest groups.
This is the first time the intervention has been used to examine a significant increase in the number of exposure data.-Author: I have a right to revoke this authorization at any time.
Author: If I revoke the authorization, I must present my written revocation to the person/organization listed as authorized.
The ""Authorized"" program will expire after 36 months.
If you have given permission for release, I will give it to someone/organizations listed as ""authorized""-ASIC is a secur e web-based data collection software hosted on servers at UCSF.
It is accessible in both online and offline formats for use in completing surveys.
The site is accessible online in both offline and offline.
Use the service to log in to CASIC within 14 days from survey initiation.-Study: Low blood glucose (hypoglycemia) and high blood sugar (glycemia), high blood glucose, and poor food quality.
Study: Study should be used to address the adverse events and safety reporting.
Symptoms include suicidality or homicidalality.- - --Medical information will be used as part of the study’s health care utilization study.
Medical information is used as a part of a health care care utilization trial.
The study will be part of an ongoing health care study.22-year-old patient is enrolled in a diabetes research study.-In 2013, 14.3% of U.S. households (17.5 million adults) were food-secure.
In 2013 5.4 million seniors (over 60) experienced very low food security.
Food insecurity is a public health problem of limited or.-The New Year is the beginning of the weekly, daily, weekly, weekly session of the Dieting and Management of Procedures.
The guide guide includes the following: 'Tips for Good.
Glorie Sh ockers, Diabetes, and the.
Depression of Depression, Diabetes.-The Informed Consent process for participants with limited literacy.
The process involves a blood sugar test.
It is the first time participants with adequate literacy.22.7.6.7.
A total of 19,000 people are required to leave the survey form.-In 2013, 14.3% of U.S. households (17.5 million adults) were food-secure.
In 2013 5.4 million seniors (over 60) experienced very low food security.
Food insecurity is a public health problem of limited or.-Food bank sites must comply with federal, state and local regulations.
Site must apply for and maintain all required required medical and safety requirements.
Sites must submit applications for and support the sites in applying for and maintaining all required.
Hospitals must submit a ‘Medical Waste Management Plan’ along with their application.-Institutional Review Board (IRB) has required us to minimize identifiable information.
The Urban Institute IRB has required the volunteers to minimize the identifiable information by sending the record in a secure, secure, or fax or mail.
We would greatly appreciate your help in sending the recording in a securely, secure fashion.-Morgan Smith is responsible for ke epin gelling.
The protocol Deviation Log is required to report serious adverse events.
Ineligible participant is randomized to the study.
No required signatures.
There are no required signatures for the required signature.
Agency is responsible.",https://ClinicalTrials.gov/ProvidedDocs/60/NCT02569060/Prot_SAP_000.pdf
38,NCT02426138,Completed,diabetes ,massachusetts general hospital , years and older   adult older adult ,other ,allocation randomized intervention model crossover assignment masking none open label primary purpose treatment ,massachusetts general hospital boston massachusetts united states ,"Study participants will receive payment of $25 for completing follow up assessment at 12 weeks.
Participants will receive $25 to promote attendance at the delayed CS meals group.
The patients diet will be monitored using the same questionnaire as those who were previously.
hydrated with diabetes.- -Food insecurity is associated with chronic disease \namong low-income NHANES participants.
Food insecurity affects low- income patients with type 2 diabetes.
Diabetics are hyperglycaemic despite optimised treatment.
The Joy of Cooking? is published by the Boston puerto rican.-Participants will be asked to fill out a questionnaire form and receive a nutrition guide.
Participants can choose to leave the study midway through the study.
The study is a controlled clinical trial comparing two arms: immediate receipt of CS meals for 12 weeks.
It will be available to all participants at the beginning of the study and will be in place for the first 12 weeks of the clinical trial.-Study participants will receive payment of $25 for completing follow up assessment at 12 weeks.
Participants will receive $25 to promote attendance at the delayed CS meals group.
The patients diet will be monitored using the same questionnaire as those who were previously.
hydrated with diabetes.-Every subject is evaluated for any adverse events.
Any adverse event will be reported to the IRB.
All adverse events will be documented annually and submitted to the ICB.22.
The report will include a.
discovery of the event, when and how it was reported.-The study will be published in the journal of Clinical Nutrition.
It will include a list of adverse events Log to see if a user is affected.
The data will be collected at scientific meetings and manuscripts.
If the data is not met, the program will be terminated.- - - -The risk of this intervention, which simply provides food, is minimal.
The risk is minimal, and the risk of infection is minimal.
The risks to the participants will be minor, and are limited to 1,000.
Participants may feel uncomfortable answering questions about their diabetes, health, nutrition and daily activity.-The risk of this intervention, which simply provides food, is minimal.
The risk is minimal, and the risk of infection is minimal.
The risks to the participants will be minor, and are limited to 1,000.
Participants may feel uncomfortable answering questions about their diabetes, health, nutrition and daily activity.-Participants will be asked to fill out a questionnaire form and receive a nutrition guide.
Participants can choose to leave the study midway through the study.
The study is a controlled clinical trial comparing two arms: immediate receipt of CS meals for 12 weeks.
It will be available to all participants at the beginning of the study and will be in place for the first 12 weeks of the clinical trial. Study participants will receive payment of $25 for completing follow up assessment at 12 weeks.
Participants will receive $25 to promote attendance at the delayed CS meals group.
The patients diet will be monitored using the same questionnaire as those who were previously.
hydrated with diabetes.",https://ClinicalTrials.gov/ProvidedDocs/38/NCT02426138/Prot_SAP_000.pdf
39,NCT02786953,Completed,diabetes mellitus type 1 ,vanderbilt university medical center , years to  years   child ,other ,allocation randomized intervention model parallel assignment masking single investigator primary purpose treatment ,vanderbilt university medical center nashville tennessee united states ,"Study will look at effects of sleep deprivation on sleep quality and quality of life.
Study accrues $1C in study costs and will be reviewed by the DSMB.
The study will be conducted using a single-subject and follow-up data.
It will be used to determine if there is an impact on glycemic control.- -The first phone call will last approximately 30 minutes.
The first call will take place about one week after the first call.
Parents will be provided with materials designed to help them support their teen.
There are no potential legal or social risks to participants.
All children will receive clinical care throughout the course of the study.-The PI will ensure that the trial is conducted according to approved protocol.
The PI is a clinical health psychologist and certified diabetes educator.
Risk to participants include A1C, depression, adherence to treatment groups.
Agency will complete training for social and behavioral research.- - -The PI will ensure that the trial is conducted according to approved protocol.
The PI is a clinical health psychologist and certified diabetes educator.
Risk to participants include A1C, depression, adherence to treatment groups.
Agency will complete training for social and behavioral research.- -The first phone call will last approximately 30 minutes.
The first call will take place about one week after the first call.
Parents will be provided with materials designed to help them support their teen.
There are no potential legal or social risks to participants.
All children will receive clinical care throughout the course of the study.-The first phone call will last approximately 30 minutes.
The first call will take place about one week after the first call.
Parents will be provided with materials designed to help them support their teen.
There are no potential legal or social risks to participants.
All children will receive clinical care throughout the course of the study.-The study was conducted by researchers at the Children’s Diabetes Program at Vanderbilt.
The study is designed to induce greater sleep duration and higher quality of sl eep.
It is designed for adolescents with type 1 diabetes.
Participants will be enrolled at the children’t-assisted diabetes program.-Teenagers will receive 7 days of automated text messages to collect data.
The questionnaire data will be collected using REDCap.
Teenagers receive 7 day text messages from participants’ medical charts.
A total of 13 items will be analyzed to determine the time, day and day.-Study will look at effects of sleep deprivation on sleep quality and quality of life.
Study accrues $1C in study costs and will be reviewed by the DSMB.
The study will be conducted using a single-subject and follow-up data.
It will be used to determine if there is an impact on glycemic control.- - - ",https://ClinicalTrials.gov/ProvidedDocs/53/NCT02786953/Prot_SAP_000.pdf
40,NCT01269034,Completed,type 1 diabetes ,albert einstein college of medicine national institute of diabetes and digestive and kidney diseases niddk , years to  years   child adult ,other nih ,allocation randomized intervention model crossover assignment masking none open label primary purpose treatment ,albert einstein crc west campus bronx new york united states ,"Exenatide is a GLP-1 receptor analog.
Exenetide is an anti-depressant.
In mice, treatment with GLP1 receptor bridged the GLP.
The drug is rapidly absorbed with a Tmax of 1-3 hours.- - - - - - - -The subject will receive Exenatide 1.25 micrograms and rapid acting insulin.
No medication will be given to subjects in the control arm.
Blood is collected at the bedside of the patient.
The subject is then given a meal tray and blood sugar is tested.
If blood glucose is more than 55 mg/dl, the study will be terminated.- - -Study will include 10 healthy controls for the study.
Tests include blood for exenatide, insulin, C-peptide, amylase, lipase, amolin, GLP-1, and lipase.
Study will be part of a study of blood samples with T1DM and 10 healthy control subjects.- - - - ",https://ClinicalTrials.gov/ProvidedDocs/34/NCT01269034/Prot_000.pdf
41,NCT02407132,Completed,diabetes ,university of arkansas patientcentered outcomes research institute , years and older   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose other ,university of arkansas for medical sciences northwest fayetteville arkansas united states ,"-Marshallese recruitment staff will recruit from Marshallese churches.
The recruitment will include a recruitment of the family of the victims.
Research will be done at churches after religious services.
Participants will be able to enroll in the study.
They will also be able for the education sessive and health events.- -The DSME has the potential to b enefit partici pan ts by fostering better dis eas e e e.
The study team will utilize an electronic database to capture st u-d y data.
It will use an electronic system to capture data from the st ud y.- - - - - -The Dia bet es es te te with type 2 diabetes in Taiwan.
The disease is caused by type 2 dia bet es.
It is the same 2 diabetes as the brain.
Disease is controlled by type 1 diabetes.
'I am not a natural 2 d iabetes bet es. I'm.- -Marshallese recruitment staff will recruit from Marshallese churches.
The recruitment will include a recruitment of the family of the victims.
Research will be done at churches after religious services.
Participants will be able to enroll in the study.
They will also be able for the education sessive and health events.-Marshallese recruitment staff will recruit from Marshallese churches.
The recruitment will include a recruitment of the family of the victims.
Research will be done at churches after religious services.
Participants will be able to enroll in the study.
They will also be able for the education sessive and health events.-The DSME has the potential to b enefit partici pan ts by fostering better dis eas e e e.
The study team will utilize an electronic database to capture st u-d y data.
It will use an electronic system to capture data from the st ud y.-The Dia bet es es te te with type 2 diabetes in Taiwan.
The disease is caused by type 2 dia bet es.
It is the same 2 diabetes as the brain.
Disease is controlled by type 1 diabetes.
'I am not a natural 2 d iabetes bet es. I'm.",https://ClinicalTrials.gov/ProvidedDocs/32/NCT02407132/Prot_SAP_000.pdf
42,NCT03159299,Completed,type 2 diabetes mellitus ,yale university universidad iberoamericana , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose supportive care ,yale school of nursing orange connecticut united states ," -The former England captain is among the most popular figures in the game.
The former South African has been in contact with the media since the death of his wife.
He is also a former member of the National Suicide Prevention Unit.
A third of the world's most popular people are from the region.- -The Yo Puedo! + mHealth program will be adapted through a collaborative team of diabetes experts.
The program will include development and testing of a mHealth co mponent.
It will be used to test the feasibility of a micro-television co mposed co mp.
Participants will be able to participate in the program after the 6-month data collection.- -The Yo Puedo!!! program will be added to the Yo Pueo! + mHealth condition.
The in-person component will be for 6 months.
It will be a web-based platform with privacy and security rules.
In-person support will be provided by trained RA’s.
and select clinic personnel.
A single way text messaging will be used to evaluate protocol fidelity.
All text messages will be sent tored in text messaging.
Each message will be logged into the text messaging database.- - - - - -The Yo Puedo! + mHealth will be tested using the Actigraph Actigraphy, a 3-axis questionnaire.
The 3-Naxis test will assess health and physical activity.
It will also assess the effects of the medication we use.
A 3-D test will be used to assess the symptoms of a variety of ailments.-The Yo Puedo!!! program will be added to the Yo Pueo! + mHealth condition.
The in-person component will be for 6 months.
It will be a web-based platform with privacy and security rules.
In-person support will be provided by trained RA’s.
and select clinic personnel.
A single way text messaging will be used to evaluate protocol fidelity.
All text messages will be sent tored in text messaging.
Each message will be logged into the text messaging database.the Yo Puedo! + mHealth will be tested using the Actigraph Actigraphy, a 3-axis questionnaire.
The 3-Naxis test will assess health and physical activity.
It will also assess the effects of the medication we use.
A 3-D test will be used to assess the symptoms of a variety of ailments.- - - ",https://ClinicalTrials.gov/ProvidedDocs/99/NCT03159299/Prot_SAP_000.pdf
43,NCT03884920,Completed,diabetes mellitus pre diabetes ,islamia university of bahawalpur hashmi herbal pharma hhp registered bahawalpur , years to  years   adult ,other ,observational model casecrossover time perspective cro,hashmi dawakhana khairpur tamewali punjab pakistan university college of conventional medicine bahawalpur pakistan ,"The study is a clinical trial study to evaluate the potential of prevention in pre-diabetics.
It aims to see the level of procedure of pre-diabetic treatment.
The study was designed to see if the level of.- -Diabetologists say diabetes is a risk factor for cardiovascular disease.
Diabetics are also a risk-factor for cardiovascular diseases.
The DECODE Study is based on prospective studies of prospective studies.
It predicts the risk of cardiovascular mortality using ADA andWHO criteria.- - -The study will be categorized by the type of Kidney Function.
The study was published in the journal Diabetes.com.
It is the first time the journal has been published in a journal.
In 2012, the WHO published a report on non-communicable diabetics.- - - - -Diabetologists say diabetes is a risk factor for cardiovascular disease.
Diabetics are also a risk-factor for cardiovascular diseases.
The DECODE Study is based on prospective studies of prospective studies.
It predicts the risk of cardiovascular mortality using ADA andWHO criteria.- - - -Diabetes mellitus is a severe concern of mankind in recent years.
More than 371 million people suffer from the disease.
The number of people with diabetes deaths in low and middle revenue countries is rising.
There has been an exponential increase in the type 2 diabetes deaths.-The study will be categorized by the type of Kidney Function.
The study was published in the journal Diabetes.com.
It is the first time the journal has been published in a journal.
In 2012, the WHO published a report on non-communicable diabetics.- - ",https://ClinicalTrials.gov/ProvidedDocs/20/NCT03884920/Prot_001.pdf
44,NCT03039569,Completed,diabetes mellitus type 2 ,university of nebraska lincoln the methodist hospital research institute , years and older   adult older adult ,other ,allocation nonrandomized intervention model parallel assignment masking none open label primary purpose prevention ,university of nebraskalincoln with methodist hospital system lincoln nebraska united states ,"the model was used for analyses of the effects of the treatment group.
The analyses were repeated after the adjustment for unbalanced baseline.
All tests were 2-sided, and P < 0.05.
Results did not change significantly.
Treatment groups were 2 -sided, with P <0.05, considered statistically significant.-The intervention group was led by the 'AADE' and the 'usual care group'
The participants were advised not to reply to the text message.
The group did not receive txt messages from the participants.
A $25 gift card was off ered to the participants in both the intervention and control groups.-The intervention group was led by the 'AADE' and the 'usual care group'
The participants were advised not to reply to the text message.
The group did not receive txt messages from the participants.
A $25 gift card was off ered to the participants in both the intervention and control groups.-The model was used for analyses of the effects of the treatment group.
The analyses were repeated after the adjustment for unbalanced baseline.
All tests were 2-sided, and P < 0.05.
Results did not change significantly.
Treatment groups were 2 -sided, with P <0.05, considered statistically significant.- -The intervention group was led by the 'AADE' and the 'usual care group'
The participants were advised not to reply to the text message.
The group did not receive txt messages from the participants.
A $25 gift card was off ered to the participants in both the intervention and control groups.- - -The study was approved by the University of Nebraska in Lincoln.
Inclusion criteria were for adults aged ≥ 30 years with Type 2 diabetes.
The intervention group received the usual support of the American Association of Diabetes Educator.
It was based on topics and guidelines provided by the American.",https://ClinicalTrials.gov/ProvidedDocs/69/NCT03039569/Prot_SAP_000.pdf
45,NCT02846779,Completed,diabetes ,brigham and womens hospital horizon blue cross blue shield of new jersey , years and older   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose health services research ,horizon blue cross blue shield of new jersey newark new jersey united states ,"-Medina technicians will use the minimal amount of clinical data to help the study.
Data on all insulin users will be analyzed according to whichever group the patient was randomized to.
The study will be repeated monthly 3 additional times.
Hospital administrators will choose the patient to participate.- -The TMs will be delivered by Magellan subcontractor Mobile Commons.
The service will include a service for patients with diabetes.
TMs will include information about importance of edging and adherence.
This will include the use of a moderate intensity text messag.
A limited number of calls will be made to providers or pharmacist.- -Patients will receive a low intensity, telephonic clinical pharmacist-lead adhe rencell.
The intervention will be offered to all subjects regardless of their type of adherence risk prediction or disease control.
Patients predicted to have a very high or very low risk of non-adherence at the start of the study.- - - - -The analysis of the analysis of changes in the analysis plan.
The analysis was designed to help patients with diabetes.
'TARGIT -DM.TARIT - DMGIT –DM.I.T.DM.D.TALT. CON CONTAINS.-RxAnte is a clinical trial of patients with chronic diseases such as hypertension and diabetes.
Patients with a moderate risk of non-adherence will be able to target patients with a very low or very low risk target.
This is to target those who are unlikely to \nbenefit from an adherence intervention due to ongoing very poor or very good adherence.-Patients will receive a low intensity, telephonic clinical pharmacist-lead adhe rencell.
The intervention will be offered to all subjects regardless of their type of adherence risk prediction or disease control.
Patients predicted to have a very high or very low risk of non-adherence at the start of the study.-Hizon will randomly select 1,500 patients meeting criteria above criteria above.
Hizon is also providing data on patient outcomes and lab results.
The data will be combined into a \ndatabase consisting of all clinical data.
Both vendors will provide aggregate data on risk and prediction scores.- -The CDC says the current insulin use persistence rate for patients with type 2 diabetes is a large, pragmatic, randomized trial.
The study was published in the journal of the American Medical Association.
It was published April 12, 2014.
In the journal, the journal published the results of the study.- - - ",https://ClinicalTrials.gov/ProvidedDocs/79/NCT02846779/Prot_SAP_000.pdf
46,NCT01966978,Completed,diabetes mellitus type 2 diabetes ,university of texas southwestern medical center , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,ut southwestern medical center dallas texas united states ,"The blood pressure and blood pressure levels will be recorded at each visit.
The average number of readings/day will be measured at each patient.
All patients will receive recommendations regarding type and amount of daily insulin.
If hypoglycemia symptoms have occurred, the blood pressure will be calculated at the same calibrated digital scale.
A diabetic and diastolic blood pressure test will be taken at the end of the study.-All patients will receive recommendations regarding type and amount of daily insulin.
All patients receive recommendations on type and quantity of daily diabetes.
Diabetes and diastolic blood pressure tests will be taken at the end of the study.
A diabetic and diestolic blood test will be done at the same time.- -The study was designed to help reduce fasting glucose levels within a patient.
The study is being trialled by Parkland Health and Hospital System.
It is the first time the study has been done on the hard to treat 297.
Lactic acid is a form of pancreatitis, regardless of time since diagnosis.- -Hypoglycemia is a common side effect of intensive insulin treatment.
Hypoglycoglycemic effects include a greater risk of cardiac death.
The effects of hypoglycealy include dementia, cardiovascular risk, and death. and death.
Hyplycemia has far 99 \nomenomenon.-Hypoglycemia is a common side effect of intensive insulin treatment.
Hypoglycoglycemic effects include a greater risk of cardiac death.
The effects of hypoglycealy include dementia, cardiovascular risk, and death. and death.
Hyplycemia has far 99 \nomenomenon.-If patients experience persistent 464 \nhyperglycemia at the 3-mo visit (visit 5) they will 467 \n hyperglycemi aspart.
This is a pre-specified 466 \nx4.hyperglyglycemic (10%)
This will be a pre.
specified 464.
Nortreatment and insulin titration will continue as scheduled.-The information collected for each patient will be recorded at a minimum of 929.
The information will include the screening and run-in periods.
If 942 \ncesignificant.
medical event occurs, the subject will be asked about adverse 924 \nrelated activity.- - - - -Liraglutide may cause nausea, vomiting or diarrhea, leading to kidney failure.
Hypoglycemia (low blood sugar) can occur in people who have never had 615 or more children.
Disease can also lead to kidney cancer.
If you have never suffered 615 \nkidney problems before, you may need dialysis.-Liraglutide may cause nausea, vomiting or diarrhea, leading to kidney failure.
Hypoglycemia (low blood sugar) can occur in people who have never had 615 or more children.
Disease can also lead to kidney cancer.
If you have never suffered 615 \nkidney problems before, you may need dialysis.-The information collected for each patient will be recorded at a minimum of 929.
The information will include the screening and run-in periods.
If 942 \ncesignificant.
medical event occurs, the subject will be asked about adverse 924 \nrelated activity.-868 users will be instructed to use the proper storage conditions.
The pen must be protected from all sources of light.
Drug will be stored separately from used trial medication (sophisticated)
The study is only blinded to the patient.
It is only blind to the study.-The main analysis will be performed using SAS software.
The main analyzer will be intention-to-treat (ITT)
The data will be used to assess the risk of the type of treatment failure.
Data will be analyzed using SAS and other statistical analyses.- - -The study was published in the journal The Clinical Analysis and Statistical Analysis Plan.
The study is the result of a study by the.
documentary, The.
Sightings of Simple Basal Insulin Titration.
It is the same document that was used to study the Effect of SimpleBasal Titration in the.",https://ClinicalTrials.gov/ProvidedDocs/78/NCT01966978/Prot_SAP_000.pdf
49,NCT02647320,Completed,type 2 diabetes mellitus ,daiichi sankyo inc , years to  years   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose treatment ,birmingham alabama united states litchfield park arizona united states tempe arizona united states anaheim california united states chino california united states chula vista california united states fresno california united states gold river california united states greenbrae california united states san diego california united states colorado springs colorado united states lakewood colorado united states hallandale beach florida united states miami florida united states miami florida united states pembroke pines florida united states west palm beach florida united states atlanta georgia united states boise idaho united states avon indiana united states evansville indiana united states franklin indiana united states greenfield indiana united states council bluffs iowa united states troy michigan united states edina minnesota united states washington missouri united states omaha nebraska united states mooresville north carolina united states morgantown north carolina united states winstonsalem north carolina united states columbus ohio united states medford oregon united states charleston south carolina united states charleston south carolina united states greer south carolina united states mount pleasant south carolina united states spartanburg south carolina united states austin texas united states dallas texas united states houston texas united states plano texas united states san antonio texas united states san antonio texas united states salt lake city utah united states salt lake city utah united states south jordan utah united states burke virginia united states victoria british columbia canada brampton ontario canada london ontario canada newmarket ontario canada toronto ontario canada toronto ontario canada mirabel quebec canada montreal quebec canada sherbrooke quebec canada quebec canada ,"The primary objective is to evaluate changes in hemoglobin A1c from baseline to week 12.
The secondary objective is for the test to evaluate the safety and tolerability of DS-8500a.
To evaluate the risk and tolerabilities of DS8500A, the primary objective includes.-The primary objective is to evaluate changes in hemoglobin A1c from baseline to week 12.
The primary goal is to assess the risk and tolerability of DS8500A.
DHS-8500a is a high-500A, and is a secondary objective.- -The investigator should conduct the study in compliance with the protocol agreed to by Sponsor and.
If the subject was ineligible or received the incorrect dose or study treatment, it must be re-approved by the IEC/IRB/IRS.
The International Protocol amendments will affect the conduct at all study centers in all regions of the world.- -In order to analyze PK samples, the study blind outside of the lab only after the clinical study database has been unblinding.
The study blind will be broken at the end of the study once all prerequisites are met.
In the event of an emergency unblinded study, the subject will be informed about their treatment assignment.-Treatment periods will be at the same dose taken prior to screening.
The study will be conducted at 65 study centers in the United States and Canada.
Treatment will continue at the clinic for the same doses.
Subjects who meet protocol will return to the clinic.-The Schedule of Events and Amendments are the Confidential and Confidential.
The Schedule includes a Schedule of events, a number of events and a number.
of events.
X X and the Protocol G8500-A-U202VersionVersion 1.0A- U202Version 1.-Adverse events will be grouped by system organ class and by preferred term.
Adverse event Adjudication will be listed as adverse events.
Tables summarizing subject incidence of cardiovascular events will also be listed.
The number and percentage of subjects with ‘markedly abnormal’ laboratory values will be tabulated.- -The study will be conducted in compliance with the ethical principles of the Declaration of Helsinki.
The Investigator must ensure that the subject’s anonymity is maintained.
It is required that the investigator and institution permit authorized representatives of the company to access the subject's medical records.-The analysis sets out the data from this study.
The data will be presented with the same precision with which they were collected.
Raw data will also be presented to the same way as they were gathered.
Data will be displayed with the right precision with the correct precision.
The ICF should be signed and personally dated by the subject and by the person who conducted the informed consent discussion.
The ICRF should be documented in the.
subject's medical records.
In the event of a prohibition or restriction imposed, the Sponsor should be informed immediately.- -Subjects who miss 7 days of consecutive doses of study medication will be withdrawn.
Subjects removed from the study for any reason will not be replaced.
If a subject becomes lost to follow-up, the sites will be given instruction on actions to take to try and locate the subject.-Subjects who miss 7 days of consecutive doses of study medication will be withdrawn.
Subjects removed from the study for any reason will not be replaced.
If a subject becomes lost to follow-up, the sites will be given instruction on actions to take to try and locate the subject.-The analysis sets out the data from this study.
The data will be presented with the same precision with which they were collected.
Raw data will also be presented to the same way as they were gathered.
Data will be displayed with the right precision with the correct precision.-The ICF should be signed and personally dated by the subject and by the person who conducted the informed consent discussion.
The ICRF should be documented in the.
subject's medical records.
In the event of a prohibition or restriction imposed, the Sponsor should be informed immediately.-The study will be conducted in compliance with the ethical principles of the Declaration of Helsinki.
The Investigator must ensure that the subject’s anonymity is maintained.
It is required that the investigator and institution permit authorized representatives of the company to access the subject's medical records.-The investigator should conduct the study in compliance with the protocol agreed to by Sponsor and.
If the subject was ineligible or received the incorrect dose or study treatment, it must be re-approved by the IEC/IRB/IRS.
The International Protocol amendments will affect the conduct at all study centers in all regions of the world.",https://ClinicalTrials.gov/ProvidedDocs/20/NCT02647320/Prot_SAP_000.pdf
