,NCT Number,Status,Conditions,Sponsor,Age,Funded_Bys,Study_Designs,Locations,links
10,NCT05187806,Completed,type 2 diabetes ,istanbul universitycerrahpasa , years and older   adult older adult ,other ,allocation randomized intervention model parallel assignment masking single participant primary purpose supportive care ,ministry of health gaziosmanpasa training and research hospital istanbul turkey ,https://ClinicalTrials.gov/ProvidedDocs/06/NCT05187806/Prot_SAP_000.pdf
11,NCT03176056,Completed,type 2 diabetes mellitus ,national taiwan university hospital , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose other ,taiwan ,https://ClinicalTrials.gov/ProvidedDocs/56/NCT03176056/Prot_000.pdf
12,NCT03737799,Not Completed,diabetes mellitus ,royal devon and exeter nhs foundation trust national institute for health research united kingdom diabetes uk university of exeter , years and older   adult older adult ,other ,observational model cohort time perspective prospective ,anita hill exeter devon united kingdom ,https://ClinicalTrials.gov/ProvidedDocs/99/NCT03737799/Prot_000.pdf
13,NCT01908530,Completed,diabetes mellitus ,imperial college london , years to  years   adult older adult ,other ,allocation nonrandomized intervention model parallel assignment masking none open label primary purpose diagnostic ,imperial college london london united kingdom ,https://ClinicalTrials.gov/ProvidedDocs/30/NCT01908530/Prot_000.pdf
14,NCT01613807,Completed,gestational diabetes mellitus ,sansum diabetes research institute eli lilly and company , years to  years   adult ,other industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,california ,https://ClinicalTrials.gov/ProvidedDocs/07/NCT01613807/Prot_000.pdf
15,NCT04529317,Completed,type 2 diabetes ,institut dinvestigacions biomdiques august pi i sunyer , years and older   older adult ,other ,allocation nonrandomized intervention model crossover assignment masking none open label primary purpose prevention ,diana a daz rizzolo barcelona spain ,https://ClinicalTrials.gov/ProvidedDocs/17/NCT04529317/Prot_SAP_ICF_000.pdf
16,NCT02889510,Completed,type 2 diabetes ,lecube albert md dynamic solutions novo nordisk as , years to  years   adult older adult ,other industry ,allocation randomized intervention model crossover assignment masking double participant investigator primary purpose treatment ,hospital universitari germans trias i pujol badalona barcelona spain clnica universidad de navarra pamplona navarra spain hospital universitari vall dhebrn barcelona spain hospital universitari arnau de vilanova de lleida lleida spain hospital universitario virgen de la victoria mlaga spain hospital universitario virgen del roco sevilla spain ,https://ClinicalTrials.gov/ProvidedDocs/10/NCT02889510/Prot_SAP_000.pdf
17,NCT05099198,Completed,diabetes ,brigham and womens hospital , years and older   adult older adult ,other ,observational model cohort time perspective retrospective ,brigham and womens hospital boston massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/98/NCT05099198/Prot_SAP_000.pdf
18,NCT05162183,Completed,diabetes ,brigham and womens hospital , years to  years   adult older adult ,other ,observational model cohort time perspective retrospective ,brigham and womens hospital boston massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/83/NCT05162183/Prot_SAP_000.pdf
19,NCT04077216,Completed,diabetes mellitus type 2 ,makati medical center , years to  years   adult older adult ,other ,allocation randomized intervention model crossover assignment masking single participant primary purpose supportive care ,makati medical center makati city ncr philippines ,https://ClinicalTrials.gov/ProvidedDocs/16/NCT04077216/Prot_SAP_000.pdf
20,NCT01973972,Completed,diabetes ,va office of research and development , years to  years   adult older adult ,us fed ,allocation randomized intervention model parallel assignment masking none open label primary purpose health services research ,durham va medical center durham nc durham north carolina united states ,https://ClinicalTrials.gov/ProvidedDocs/72/NCT01973972/Prot_SAP_000.pdf
21,NCT03020069,Completed,type 1 diabetes ,nyu langone health , years to  years   child adult ,other ,allocation nonrandomized intervention model parallel assignment masking none open label primary purpose diagnostic ,new york university medical center new york new york united states ,https://ClinicalTrials.gov/ProvidedDocs/69/NCT03020069/Prot_SAP_000.pdf
22,NCT04970810,Not Completed,type 2 diabetes ,university of chicago national institute of diabetes and digestive and kidney diseases niddk , years and older   adult older adult ,other nih ,allocation randomized intervention model parallel assignment masking single participant primary purpose supportive care ,university of chicago medicine chicago illinois united states ,https://ClinicalTrials.gov/ProvidedDocs/10/NCT04970810/Prot_SAP_000.pdf
23,NCT03695913,Completed,prediabetes ,university of michigan , years and older   adult older adult ,other ,allocation na intervention model single group assignment masking none open label primary purpose treatment ,the university of michigan livonia michigan united states ,https://ClinicalTrials.gov/ProvidedDocs/13/NCT03695913/Prot_000.pdf
24,NCT03053518,Not Completed,type2 diabetes ,nyu langone health , years to  years   adult older adult ,other ,allocation nonrandomized intervention model parallel assignment masking none open label primary purpose treatment ,new york university school of medicine new york new york united states ,https://ClinicalTrials.gov/ProvidedDocs/18/NCT03053518/Prot_000.pdf
25,NCT03562767,Not Completed,diabetes mellitus type 2 ,emory university national institute of diabetes and digestive and kidney diseases niddk , years and older   adult older adult ,other nih ,allocation randomized intervention model parallel assignment masking single outcomes assessor primary purpose supportive care ,emory dunwoody clinic atlanta georgia united states ,https://ClinicalTrials.gov/ProvidedDocs/67/NCT03562767/Prot_SAP_000.pdf
26,NCT04215536,Not Completed,diabetes ,brigham and womens hospital , years and older   adult older adult ,other ,observational model cohort time perspective retrospective ,brigham  womens hospital boston massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/36/NCT04215536/Prot_SAP_000.pdf
27,NCT03936062,Not Completed,diabetes ,brigham and womens hospital , years and older   adult older adult ,other ,observational model cohort time perspective retrospective ,brigham  womens hospital boston massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/62/NCT03936062/Prot_SAP_001.pdf
28,NCT03936049,Not Completed,diabetes ,brigham and womens hospital , years and older   adult older adult ,other ,observational model cohort time perspective retrospective ,brigham and womens hospital boston massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/49/NCT03936049/Prot_SAP_002.pdf
29,NCT03936036,Not Completed,diabetes ,brigham and womens hospital , years and older   adult older adult ,other ,observational model cohort time perspective retrospective ,brigham  womens hospital boston massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/36/NCT03936036/Prot_SAP_001.pdf
30,NCT01876485,Completed,diabetes mellitus ,va office of research and development , years and older   adult older adult ,us fed ,allocation randomized intervention model parallel assignment masking single outcomes assessor primary purpose health services research ,jesse brown va medical center chicago il chicago illinois united states edward hines jr va hospital hines il hines illinois united states michael e debakey va medical center houston tx houston texas united states ,https://ClinicalTrials.gov/ProvidedDocs/85/NCT01876485/Prot_SAP_000.pdf
31,NCT03936023,Not Completed,diabetes ,brigham and womens hospital , years and older   adult older adult ,other ,observational model cohort time perspective retrospective ,brigham  womens hospital boston massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/23/NCT03936023/Prot_SAP_001.pdf
32,NCT04157738,Completed,diabetes mellitus type 1 diabetes ,emory university , years to  years   child ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,childrens healthcare of atlanta atlanta georgia united states ,https://ClinicalTrials.gov/ProvidedDocs/38/NCT04157738/Prot_SAP_000.pdf
33,NCT04215523,Not Completed,diabetes ,brigham and womens hospital , years and older   adult older adult ,other ,observational model cohort time perspective retrospective ,brigham  womens hospital boston massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/23/NCT04215523/Prot_SAP_000.pdf
34,NCT03936010,Not Completed,diabetes ,brigham and womens hospital , years and older   adult older adult ,other ,observational model cohort time perspective retrospective ,brigham  womens hospital boston massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/10/NCT03936010/Prot_SAP_001.pdf
35,NCT05104944,Completed,diabetes ,norfolk and norwich university hospitals nhs foundation trust university of east anglia , years and older   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose diagnostic ,norfolk  norwich university hospital norwich norfolk united kingdom ,https://ClinicalTrials.gov/ProvidedDocs/44/NCT05104944/Prot_000.pdf
36,NCT03870997,Completed,diabetes ,evidation health sanofi pasteur a sanofi company , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking single participant primary purpose other ,evidation health san mateo california united states ,https://ClinicalTrials.gov/ProvidedDocs/97/NCT03870997/Prot_SAP_000.pdf
37,NCT01928199,Completed,posttransplant diabetes mellitus ,washington university school of medicine merck sharp  dohme llc , years and older   adult older adult ,other industry ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose prevention ,washington university saint louis missouri united states ,https://ClinicalTrials.gov/ProvidedDocs/99/NCT01928199/Prot_SAP_000.pdf
38,NCT02569060,Completed,diabetes mellitus ,university of california san francisco feeding america laura and john arnold foundation urban institute , years and older   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,alameda county community food bank oakland california united states university of california san francisco san francisco california united states gleaners community food bank of southeastern michigan detroit michigan united states houston food bank houston texas united states ,https://ClinicalTrials.gov/ProvidedDocs/60/NCT02569060/Prot_SAP_000.pdf
39,NCT02426138,Completed,diabetes ,massachusetts general hospital , years and older   adult older adult ,other ,allocation randomized intervention model crossover assignment masking none open label primary purpose treatment ,massachusetts general hospital boston massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/38/NCT02426138/Prot_SAP_000.pdf
40,NCT02786953,Completed,diabetes mellitus type 1 ,vanderbilt university medical center , years to  years   child ,other ,allocation randomized intervention model parallel assignment masking single investigator primary purpose treatment ,vanderbilt university medical center nashville tennessee united states ,https://ClinicalTrials.gov/ProvidedDocs/53/NCT02786953/Prot_SAP_000.pdf
41,NCT01269034,Completed,type 1 diabetes ,albert einstein college of medicine national institute of diabetes and digestive and kidney diseases niddk , years to  years   child adult ,other nih ,allocation randomized intervention model crossover assignment masking none open label primary purpose treatment ,albert einstein crc west campus bronx new york united states ,https://ClinicalTrials.gov/ProvidedDocs/34/NCT01269034/Prot_000.pdf
42,NCT02407132,Completed,diabetes ,university of arkansas patientcentered outcomes research institute , years and older   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose other ,university of arkansas for medical sciences northwest fayetteville arkansas united states ,https://ClinicalTrials.gov/ProvidedDocs/32/NCT02407132/Prot_SAP_000.pdf
43,NCT03159299,Completed,type 2 diabetes mellitus ,yale university universidad iberoamericana , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose supportive care ,yale school of nursing orange connecticut united states ,https://ClinicalTrials.gov/ProvidedDocs/99/NCT03159299/Prot_SAP_000.pdf
44,NCT03884920,Completed,diabetes mellitus pre diabetes ,islamia university of bahawalpur hashmi herbal pharma hhp registered bahawalpur , years to  years   adult ,other ,observational model casecrossover time perspective cro,hashmi dawakhana khairpur tamewali punjab pakistan university college of conventional medicine bahawalpur pakistan ,https://ClinicalTrials.gov/ProvidedDocs/20/NCT03884920/Prot_001.pdf
45,NCT03039569,Completed,diabetes mellitus type 2 ,university of nebraska lincoln the methodist hospital research institute , years and older   adult older adult ,other ,allocation nonrandomized intervention model parallel assignment masking none open label primary purpose prevention ,university of nebraskalincoln with methodist hospital system lincoln nebraska united states ,https://ClinicalTrials.gov/ProvidedDocs/69/NCT03039569/Prot_SAP_000.pdf
46,NCT02846779,Completed,diabetes ,brigham and womens hospital horizon blue cross blue shield of new jersey , years and older   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose health services research ,horizon blue cross blue shield of new jersey newark new jersey united states ,https://ClinicalTrials.gov/ProvidedDocs/79/NCT02846779/Prot_SAP_000.pdf
47,NCT01966978,Completed,diabetes mellitus type 2 diabetes ,university of texas southwestern medical center , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,ut southwestern medical center dallas texas united states ,https://ClinicalTrials.gov/ProvidedDocs/78/NCT01966978/Prot_SAP_000.pdf
48,NCT03865381,Completed,diabetes mellitus type 2 ,verily life sciences llc , years and older   adult older adult ,industry ,allocation na intervention model single group assignment masking none open label primary purpose supportive care ,palo alto medical foundation palo alto california united states premier medical associates monroeville pennsylvania united states ,https://ClinicalTrials.gov/ProvidedDocs/81/NCT03865381/Prot_SAP_000.pdf
49,NCT04302168,Not Completed,gestational diabetes ,maimonides medical center , years to  years   adult ,other ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose treatment ,maimonides medical center brooklyn new york united states ,https://ClinicalTrials.gov/ProvidedDocs/68/NCT04302168/Prot_SAP_000.pdf
50,NCT02647320,Completed,type 2 diabetes mellitus ,daiichi sankyo inc , years to  years   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose treatment ,birmingham alabama united states litchfield park arizona united states tempe arizona united states anaheim california united states chino california united states chula vista california united states fresno california united states gold river california united states greenbrae california united states san diego california united states colorado springs colorado united states lakewood colorado united states hallandale beach florida united states miami florida united states miami florida united states pembroke pines florida united states west palm beach florida united states atlanta georgia united states boise idaho united states avon indiana united states evansville indiana united states franklin indiana united states greenfield indiana united states council bluffs iowa united states troy michigan united states edina minnesota united states washington missouri united states omaha nebraska united states mooresville north carolina united states morgantown north carolina united states winstonsalem north carolina united states columbus ohio united states medford oregon united states charleston south carolina united states charleston south carolina united states greer south carolina united states mount pleasant south carolina united states spartanburg south carolina united states austin texas united states dallas texas united states houston texas united states plano texas united states san antonio texas united states san antonio texas united states salt lake city utah united states salt lake city utah united states south jordan utah united states burke virginia united states victoria british columbia canada brampton ontario canada london ontario canada newmarket ontario canada toronto ontario canada toronto ontario canada mirabel quebec canada montreal quebec canada sherbrooke quebec canada quebec canada ,https://ClinicalTrials.gov/ProvidedDocs/20/NCT02647320/Prot_SAP_000.pdf
51,NCT01793909,Completed,type 2 diabetes ,university of colorado denver , years to  years   adult older adult ,other ,allocation na intervention model single group assignment masking none open label primary purpose treatment ,university of colorado denver anschutz medical campus aurora colorado united states ,https://ClinicalTrials.gov/ProvidedDocs/09/NCT01793909/Prot_SAP_000.pdf
52,NCT02379078,Completed,diabetes mellitus ,unity health toronto canadian institutes of health research cihr , years and older   adult older adult ,other ,allocation randomized intervention model parallel assignment masking single outcomes assessor primary purpose health services research ,canadian ,https://ClinicalTrials.gov/ProvidedDocs/78/NCT02379078/Prot_SAP_000.pdf
53,NCT05431686,Not Completed,type 1 diabetes ,childrens national research institute american diabetes association dexcom inc , years and older   child adult older adult ,other industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose other ,childrens national hospital washington district of columbia united states ,https://ClinicalTrials.gov/ProvidedDocs/86/NCT05431686/Prot_SAP_000.pdf
54,NCT04407650,Not Completed,gestational diabetes ,kings college london guys and st thomas nhs foundation trust , years to  years   child adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,london ,https://ClinicalTrials.gov/ProvidedDocs/50/NCT04407650/Prot_SAP_000.pdf
55,NCT05182359,Not Completed,type 2 diabetes ,university hospitals cleveland medical center somalogic inc , years to  years   adult older adult ,other industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose other ,university hospitals cleveland ohio united states ,https://ClinicalTrials.gov/ProvidedDocs/59/NCT05182359/Prot_SAP_000.pdf
56,NCT03727854,Completed,patients with type 2 diabetes ,seoul national university hospital , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose basic science ,seoul national university hospital seoul korea republic of ,https://ClinicalTrials.gov/ProvidedDocs/54/NCT03727854/Prot_SAP_000.pdf
57,NCT04949867,Not Completed,type 1 diabetes ,steno diabetes center copenhagen technical university of denmark herlev hospital , years to  years   child ,other ,allocation randomized intervention model crossover assignment masking single participant primary purpose treatment ,steno diabetes center copenhagen gentofte denmark herlev hospital herlev denmark ,https://ClinicalTrials.gov/ProvidedDocs/67/NCT04949867/Prot_SAP_000.pdf
58,NCT02372253,Completed,type 1 diabetes mellitus ,university of alabama at birmingham juvenile diabetes research foundation , years to  years   adult ,other ,allocation randomized intervention model parallel assignment masking triple participant care provider investigator primary purpose treatment ,university of alabama at birmingham birmingham alabama united states ,https://ClinicalTrials.gov/ProvidedDocs/53/NCT02372253/Prot_SAP_000.pdf
59,NCT03165110,Completed,diabetes mellitus ,ascensia diabetes care , years to  years   adult older adult ,industry ,allocation na intervention model single group assignment masking none open label primary purpose supportive care ,amcr institute escondido california united states ,https://ClinicalTrials.gov/ProvidedDocs/10/NCT03165110/Prot_SAP_000.pdf
60,NCT03006666,Completed,diabetes mellitus ,nyu langone health , years to  years   adult older adult ,other ,allocation randomized intervention model factorial assignment masking none open label primary purpose supportive care ,new york university medical center new york new york united states ,https://ClinicalTrials.gov/ProvidedDocs/66/NCT03006666/Prot_SAP_000.pdf
61,NCT02607306,Completed,diabetes diabetes mellitus type 2 ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,novo nordisk investigational site adachiku tokyo japan novo nordisk investigational site akitashi akita japan novo nordisk investigational site annakashi gunma japan novo nordisk investigational site asahikawashi hokkaido japan novo nordisk investigational site chibashi chiba japan novo nordisk investigational site chitose hokkaido japan novo nordisk investigational site chuoku tokyo japan novo nordisk investigational site chuokutokyo japan novo nordisk investigational site chuoku japan novo nordisk investigational site edogawaku tokyo japan novo nordisk investigational site fujisawashi kanagawa japan novo nordisk investigational site fukuokashi fukuoka japan novo nordisk investigational site fukushima japan novo nordisk investigational site gunma japan novo nordisk investigational site hachiojishi tokyo japan novo nordisk investigational site hokkaido japan novo nordisk investigational site hokkaido japan novo nordisk investigational site ibaraki japan novo nordisk investigational site ichiharashi chiba japan novo nordisk investigational site irumashi saitama japan novo nordisk investigational site itabashiku tokyo japan novo nordisk investigational site itabashiku tokyo japan novo nordisk investigational site izumisanoshiosaka japan novo nordisk investigational site izumisanoshi japan novo nordisk investigational site kagoshimashi kagoshima japan novo nordisk investigational site kamakurashi japan novo nordisk investigational site kanagawa japan novo nordisk investigational site kanragun gunma japan novo nordisk investigational site kashiwarashi osaka japan novo nordisk investigational site kawagoeshi saitama japan novo nordisk investigational site kawaguchishi saitama japan novo nordisk investigational site kawasakishikanagawa japan novo nordisk investigational site kisarazushi chiba japan novo nordisk investigational site kobeshi hyogo japan novo nordisk investigational site kukishi saitama japan novo nordisk investigational site kumamotoshi kumamoto japan novo nordisk investigational site kumamotoshi kumamoto japan novo nordisk investigational site kumamoto japan novo nordisk investigational site kushiroshi hokkaido japan novo nordisk investigational site kyotoshi kyoto japan novo nordisk investigational site minatoku tokyo japan novo nordisk investigational site mitoshi ibaraki japan novo nordisk investigational site mitoshi ibaraki japan novo nordisk investigational site miurashi kanagawa japan novo nordisk investigational site miyazaki japan novo nordisk investigational site nagoyashi aichi japan novo nordisk investigational site nagoyashi aichi japan novo nordisk investigational site nishinomiyashi hygo japan novo nordisk investigational site obihiroshi hokkaido japan novo nordisk investigational site obihiroshi hokkaido japan novo nordisk investigational site oitashi japan novo nordisk investigational site okawashi fukuoka japan novo nordisk investigational site ongagun fukuoka japan novo nordisk investigational site osakashi osaka japan novo nordisk investigational site osakashi osaka japan novo nordisk investigational site osakashi osaka japan novo nordisk investigational site osaka japan novo nordisk investigational site otaku tokyo japan novo nordisk investigational site saijoshi ehime japan novo nordisk investigational site sapporoshi hokkaido japan novo nordisk investigational site sapporoshi hokkaido japan novo nordisk investigational site sendaishi miyagi japan novo nordisk investigational site sendaishi miyagi japan novo nordisk investigational site shimotsukeshi tochigi japan novo nordisk investigational site shizuokashi shizuoka japan novo nordisk investigational site tochigi japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site toshimaku tokyo japan novo nordisk investigational site toyonakashi osaka japan novo nordisk investigational site ubeshi yamaguchi japan novo nordisk investigational site urasoeshi japan novo nordisk investigational site yamaguchishi yamaguchi japan novo nordisk investigational site yamatoshi kanagawa japan ,https://ClinicalTrials.gov/ProvidedDocs/06/NCT02607306/Prot_SAP_000.pdf
62,NCT03086330,Completed,diabetes diabetes mellitus type 2 ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking double participant investigator primary purpose treatment ,novo nordisk investigational site andalusia alabama united states novo nordisk investigational site anniston alabama united states novo nordisk investigational site glendale arizona united states novo nordisk investigational site phoenix arizona united states novo nordisk investigational site tempe arizona united states novo nordisk investigational site little rock arkansas united states novo nordisk investigational site la jolla california united states novo nordisk investigational site lincoln california united states novo nordisk investigational site northridge california united states novo nordisk investigational site edgewater florida united states novo nordisk investigational site maitland florida united states novo nordisk investigational site lawrenceville georgia united states novo nordisk investigational site woodstock georgia united states novo nordisk investigational site hutchinson kansas united states novo nordisk investigational site lexington kentucky united states novo nordisk investigational site baltimore maryland united states novo nordisk investigational site troy michigan united states novo nordisk investigational site jefferson city missouri united states novo nordisk investigational site albany new york united states novo nordisk investigational site smithtown new york united states novo nordisk investigational site west seneca new york united states novo nordisk investigational site charlotte north carolina united states novo nordisk investigational site charlotte north carolina united states novo nordisk investigational site gastonia north carolina united states novo nordisk investigational site greenville north carolina united states novo nordisk investigational site kinston north carolina united states novo nordisk investigational site morehead city north carolina united states novo nordisk investigational site norman oklahoma united states novo nordisk investigational site beaver pennsylvania united states novo nordisk investigational site mcmurray pennsylvania united states novo nordisk investigational site pittsburgh pennsylvania united states novo nordisk investigational site arlington texas united states novo nordisk investigational site austin texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site houston texas united states novo nordisk investigational site irving texas united states novo nordisk investigational site shavano park texas united states novo nordisk investigational site sugar land texas united states novo nordisk investigational site victoria texas united states novo nordisk investigational site murray utah united states novo nordisk investigational site chesapeake virginia united states novo nordisk investigational site olympia washington united states novo nordisk investigational site saint stefan austria novo nordisk investigational site wien austria novo nordisk investigational site wien austria novo nordisk investigational site wien austria novo nordisk investigational site edmonton alberta canada novo nordisk investigational site winnipeg manitoba canada novo nordisk investigational site brampton ontario canada novo nordisk investigational site brampton ontario canada novo nordisk investigational site etobicoke ontario canada novo nordisk investigational site smiths falls ontario canada novo nordisk investigational site toronto ontario canada novo nordisk investigational site waterloo ontario canada novo nordisk investigational site kanagawa japan novo nordisk investigational site nagakuteshi aichi japan novo nordisk investigational site suitashi osaka japan novo nordisk investigational site tokyo japan novo nordisk investigational site hamar norway novo nordisk investigational site hoenefoss norway novo nordisk investigational site namsos norway novo nordisk investigational site olso norway novo nordisk investigational site oslo norway novo nordisk investigational site skedsmokorset norway novo nordisk investigational site stavanger norway novo nordisk investigational site ponce puerto rico novo nordisk investigational site barnaul russian federation novo nordisk investigational site novosibirsk russian federation novo nordisk investigational site saintpetersburg russian federation novo nordisk investigational site saintpetersburg russian federation novo nordisk investigational site st petersburg russian federation ,https://ClinicalTrials.gov/ProvidedDocs/30/NCT03086330/Prot_SAP_000.pdf
63,NCT04428645,Completed,type 1 diabetes ,oregon health and science university , years to  years   adult ,other ,allocation na intervention model single group assignment masking none open label primary purpose treatment ,oregon health and science university portland oregon united states ,https://ClinicalTrials.gov/ProvidedDocs/45/NCT04428645/Prot_SAP_000.pdf
64,NCT01813929,Completed,type 1 diabetes ,university of colorado denver us department of veterans affairs , years to  years   adult ,other us fed ,allocation randomized intervention model crossover assignment masking double participant investigator primary purpose treatment ,university of colorado denver aurora colorado united states ,https://ClinicalTrials.gov/ProvidedDocs/29/NCT01813929/Prot_SAP_000.pdf
65,NCT03829514,Completed,diabetes mellitus type ii ,medical university of south carolina , years to  years   adult older adult ,other ,allocation na intervention model single group assignment masking none open label primary purpose basic science ,medical university of south carolina charleston south carolina united states ,https://ClinicalTrials.gov/ProvidedDocs/14/NCT03829514/Prot_001.pdf
66,NCT04131049,Completed,insulindependent diabetes mellitus 1 ,tc erciyes university , years to  years   child adult ,other ,allocation randomized intervention model crossover assignment masking single participant primary purpose screening ,erciyes university faculty of health sciences kayseri turkey ,https://ClinicalTrials.gov/ProvidedDocs/49/NCT04131049/Prot_SAP_000.pdf
67,NCT03887416,Not Completed,type2 diabetes ,lm diagnsticos sl astrazeneca , years to  years   adult older adult ,other industry ,allocation randomized intervention model parallel assignment masking single participant primary purpose treatment ,hospital clnico san carlos madrid spain hospital universitario  de octubre madrid spain hospital universitario la paz madrid spain ,https://ClinicalTrials.gov/ProvidedDocs/16/NCT03887416/Prot_SAP_000.pdf
